Ativo;Data;Cota;PL;Capt Liq;Monthly Return;Vol EWMA 97%;Daily Return
405469<BraNa>;2019-08-13;17.140128131;1646256550.9;42304198.84;0.37976566546;2.9981736947;0.038995142859
405469<BraNa>;2019-08-14;17.102740944;1676974275.1;34308646.88;0.16081064769;3.058640402;-0.21812664754
405469<BraNa>;2019-08-15;17.114458316;1697676894;19555077.23;0.27918228643;3.0123738079;0.068511661448
405469<BraNa>;2019-08-16;17.152533525;1723479907.9;22026139.6;0.66209195356;2.9961204834;0.22247393426
405469<BraNa>;2019-08-19;17.137037033;1741655303.4;19735644.95;0.56446756298;2.9849994488;-0.090345207263
405469<BraNa>;2019-08-20;17.13315491;1761018493;19757676.1;0.54168628194;2.9509839134;-0.022653409815
405469<BraNa>;2019-08-21;17.160662783;1780998308;17175408.79;0.70310943938;2.9170747546;0.1605534615
405469<BraNa>;2019-08-22;17.138903092;1794099360.6;15437176.41;0.53853100435;2.9244568672;-0.12679982738
405469<BraNa>;2019-08-23;17.101894917;1799943268.9;9792320.5;0.2455705071;2.9850290716;-0.2159308252
405469<BraNa>;2019-08-26;17.049571256;1805225908.5;12034391.52;-0.047768745753;3.1138638549;-0.30595241824
405469<BraNa>;2019-08-27;17.017991254;1814869371.5;12977854.93;-0.23290488025;3.145538341;-0.18522461396
405469<BraNa>;2019-08-28;16.953051192;1818610779.5;9375160.81;-0.61361263861;3.3315774542;-0.38159651522
405469<BraNa>;2019-08-29;16.955009254;1826559594;7738820.53;-0.61904164568;3.2809745458;0.01154991005
405469<BraNa>;2019-08-30;17.014708149;1842651082.7;9660021.46;-0.19132056714;3.32479379;0.35210181431
405469<BraNa>;2019-09-02;16.994737515;1847423542.2;6935284.92;-0.5490920631;3.3080780919;-0.11737276836
405469<BraNa>;2019-09-03;17.027143544;1859257050.9;8329165.2;-0.35945636082;3.2793522399;0.19068272595
405469<BraNa>;2019-09-04;17.081841281;1874086328.3;8856685.01;-0.039372596802;3.298010388;0.32123847614
405469<BraNa>;2019-09-05;17.078805184;1882675760.7;8922439.76;0.35615367433;3.2510566953;-0.017773823947
405469<BraNa>;2019-09-06;17.093131639;1893126565.9;8887905.25;0.019889766554;3.2045754145;0.083884409105
405469<BraNa>;2019-09-09;17.094305676;1900469261;7212695.25;-0.44079467916;3.1593274326;0.0068684737926
405469<BraNa>;2019-09-10;17.071713959;1909550629.3;11597377.57;-0.57237144247;3.1525552255;-0.13215931458
405469<BraNa>;2019-09-11;17.105082018;1921468102.3;8185081.1;-0.37803202149;3.1256048558;0.19545816776
405469<BraNa>;2019-09-12;17.131298851;1932175713.5;7762661.26;-0.012537279872;3.086654451;0.15326925786
405469<BraNa>;2019-09-13;17.101472904;1941172421.1;12360677.97;-0.22552472692;3.1071893185;-0.17410207547
405469<BraNa>;2019-09-16;17.162260834;1952032271.2;3985334.08;0.056710624085;3.168478087;0.35545435258
405469<BraNa>;2019-09-17;17.218880631;1971074484.4;12602328.97;0.38680645139;3.2062851776;0.32990873406
405469<BraNa>;2019-09-18;17.246313502;1982358463.5;8152834.68;0.54674125549;3.1694870822;0.15931854959
405469<BraNa>;2019-09-19;17.325497016;2002064900.3;10606262.42;1.099723263;3.3065337391;0.45913298363
405469<BraNa>;2019-09-20;17.382257818;2020778888.5;12154933.14;1.4539231643;3.3352557989;0.32761427792
405469<BraNa>;2019-09-23;17.351523842;2030251497.5;13045542.99;1.459656523;3.3518612781;-0.17681233358
405469<BraNa>;2019-09-24;17.322260913;2042502790.2;15675284.13;1.2885472446;3.3617096794;-0.16864760264
405469<BraNa>;2019-09-25;17.364474253;2057736426.9;10273784.01;1.5353815301;3.3482287487;0.24369417079
405469<BraNa>;2019-09-26;17.386845963;2072504603.5;12117106.83;1.9782005193;3.3025320996;0.12883609306
405469<BraNa>;2019-09-27;17.395457237;2094301903.6;20770793.19;2.218040763;3.2528839995;0.049527518604
405469<BraNa>;2019-09-30;17.403502492;2086267661;-9001686.59;2.2850485548;3.2040774241;0.046249174738
405469<BraNa>;2019-10-01;17.404026509;2086251578.1;-78947.36;2.288128341;3.159888729;0.0030109837098
405469<BraNa>;2019-10-02;17.393161164;2081840759.3;-3108374.87;2.3443942457;3.131181965;-0.06243006419
405469<BraNa>;2019-10-03;17.415738881;2080984711.1;-3558439.71;2.2822109613;3.0894504452;0.12980801203
405469<BraNa>;2019-10-04;17.408528652;2078053901.4;-2069261.04;1.9124833538;3.0566276749;-0.041400648934
405469<BraNa>;2019-10-07;17.357107019;2067253963.2;-4661806.1;1.5443359693;3.1679791488;-0.2953818409
405469<BraNa>;2019-10-08;17.357214023;2067252768.3;0;1.5449619716;3.1251878353;0.00061648170231
405469<BraNa>;2019-10-09;17.393823185;2069677206.5;-1935737.28;1.7521478449;3.1040330634;0.21091611907
405469<BraNa>;2019-10-10;17.4384016;2072635035.7;-2346710.97;2.1479251689;3.1021589798;0.25628876811
405469<BraNa>;2019-10-11;17.521382234;2079667556.2;-2829890.44;2.4337808813;3.2579360037;0.47585000157
405469<BraNa>;2019-10-14;17.579394076;2084255172.9;-2298013.85;2.7946199418;3.2897000074;0.33109169635
405469<BraNa>;2019-10-15;17.536333709;2079148713.1;0;2.5428266183;3.3516624545;-0.24494795898
405469<BraNa>;2019-10-16;17.617600289;2087097594.4;-1686280.23;2.6531437765;3.4760904205;0.46341830184
405469<BraNa>;2019-10-17;17.674827106;2092760962.7;-1116112.18;2.6479449172;3.4945571935;0.32482753486
405469<BraNa>;2019-10-18;17.652045382;2088427415.6;-1636135.49;2.3525716399;3.4823279683;-0.12889361278
405469<BraNa>;2019-10-21;17.634848836;2083898754.6;-2461594.66;1.4531542532;3.4600468362;-0.097419565554
405469<BraNa>;2019-10-22;17.578017032;2077182980.7;0;1.1262013062;3.5730274292;-0.32226986878
405469<BraNa>;2019-10-23;17.60189279;2078284515.8;-1719899.11;1.4429219618;3.5242231539;0.13582736847
405469<BraNa>;2019-10-24;17.573477888;2071245620.4;-3683859.4;1.4502551163;3.5267335798;-0.16143094608
405469<BraNa>;2019-10-25;17.633678799;2076372578.6;-1968455.07;1.5503178631;3.5555445894;0.34256685849
405469<BraNa>;2019-10-28;17.654139449;2077318383.6;-1463481.34;1.4870676214;3.5042648085;0.11603165603
405469<BraNa>;2019-10-29;17.691877647;2081719407.1;0;1.704010456;3.4742588399;0.21376401928
405469<BraNa>;2019-10-30;17.720875567;2082433473.4;-2697992.31;1.8236161111;3.4315963187;0.16390527417
405469<BraNa>;2019-10-31;17.710434236;2079940450.7;-1266017.15;1.7636205357;3.3980477052;-0.058921081109
