Nome;Classe;Pais Sede;Tipo de Ativo;"Ativo
Cancelado";2020-05-29;2020-07-31;2020-06-30;2020-04-30;2020-03-31;2020-02-28;2020-01-31;2019-12-31;2019-11-29;2019-10-31;2019-09-30;2019-08-30;2019-07-31;2019-06-28
CDI;Acumul;BR;Índice de renda fixa;ativo;0,24;0,19;0,20;0,28;0,34;0,29;0,38;0,37;0,38;0,48;0,46;0,50;0,57;0,47
Ibovespa;;BR;Ind Ações;ativo;8,57;8,27;7,26;10,25;-29,90;-8,43;-1,63;6,85;0,95;2,36;3,57;-0,67;0,84;4,06
Ima-B;5;BR;Índice de renda fixa;ativo;2,12;0,99;1,14;0,49;-1,75;0,64;0,56;1,24;-0,28;1,65;1,74;0,05;0,97;1,72
