Ativo;Data;Cota;PL;Capt Liq;Monthly Return;Vol EWMA 97%;Daily Return
372986<BraNa>;2019-08-16;19.759960125;27059199.65;-1550825.05;-0.58113154455;15.734491978;0.53686175434
372986<BraNa>;2019-08-19;19.62652483;26876472.83;0;-1.0816293769;15.666330033;-0.67528119589
372986<BraNa>;2019-08-20;19.578118909;26810186.97;0;-1.3255969087;15.455267988;-0.24663521071
372986<BraNa>;2019-08-21;19.937718179;27303699.45;1079.28;0.48679597057;15.904356179;1.8367406567
372986<BraNa>;2019-08-22;19.808391047;27210092.52;83500;-0.2580612284;15.825561712;-0.64865563281
372986<BraNa>;2019-08-23;19.43952641;26799375.63;95980.05;-1.7225738746;16.558978788;-1.8621635478
372986<BraNa>;2019-08-26;19.159351292;26570628.18;157501.61;-2.5502184312;16.867931465;-1.4412651427
372986<BraNa>;2019-08-27;19.323986825;26798948.03;0;-1.7128363875;16.740043416;0.85929596789
372986<BraNa>;2019-08-28;19.520868638;27596504.62;524516.28;-0.71144080994;16.678314312;1.0188467555
372986<BraNa>;2019-08-29;19.887414183;28115686.79;1000;0.50752023926;17.059556426;1.8777112447
372986<BraNa>;2019-08-30;20.08592406;29066329.22;670000;0.97148685782;16.951269208;0.99816836682
372986<BraNa>;2019-09-02;20.06902039;29241867.84;200000;0.23652819455;16.708250785;-0.084156799221
372986<BraNa>;2019-09-03;19.897855597;28992469.77;0;-0.61836976201;16.687282956;-0.85288065347
372986<BraNa>;2019-09-04;20.06323716;29233440.7;0;0.20764333458;16.52535368;0.83115269354
372986<BraNa>;2019-09-05;20.175759625;30097393.23;700000;2.8517548635;16.31628275;0.56083903255
372986<BraNa>;2019-09-06;20.186396047;30063808.29;-49452.99;1.4363537175;16.074985658;0.05271881837
372986<BraNa>;2019-09-09;20.022225533;29819306.56;0;-1.7901319773;16.053101246;-0.81327302951
372986<BraNa>;2019-09-10;19.987089138;29766977.49;0;-1.9624774862;15.837219685;-0.17548695705
372986<BraNa>;2019-09-11;20.256053812;30168549.3;1000;-0.64319432186;15.931080337;1.3456920682
372986<BraNa>;2019-09-12;20.379971729;30353107.85;0;1.5331790975;15.741597327;0.61175744577
372986<BraNa>;2019-09-13;20.227250669;30146709.68;21057.96;-0.47245259957;15.698548483;-0.74936836218
372986<BraNa>;2019-09-16;20.228309711;30021673.59;-126613.76;2.370194992;15.461632137;0.0052357190725
372986<BraNa>;2019-09-17;20.36992733;30251709.01;19855.1;3.0868847973;15.304924876;0.7000961612
372986<BraNa>;2019-09-18;20.39914449;30295100.42;0;3.2347452141;15.073128213;0.14343281127
372986<BraNa>;2019-09-19;20.473605445;30806684.1;401000;4.3159989944;14.859740483;0.36501998802
372986<BraNa>;2019-09-20;20.473114425;30804640.05;-1304.48;4.571407089;14.639268063;-0.0023983048777
372986<BraNa>;2019-09-23;20.421427374;30727869.8;1000;5.0510539382;14.455245513;-0.25246305968
372986<BraNa>;2019-09-24;20.329898742;30646333.99;56186;4.5802161712;14.329388903;-0.44819899413
372986<BraNa>;2019-09-25;20.35352568;30792950.79;111000;4.701756877;14.103634363;0.11621768444
372986<BraNa>;2019-09-26;20.478895655;31497622.96;515000;6.8872079371;13.955244566;0.61596195646
372986<BraNa>;2019-09-27;20.434559895;31315916.74;-113516.02;5.7471218564;13.774207561;-0.21649487408
372986<BraNa>;2019-09-30;20.469980301;31370198.6;0;1.9120665755;13.565564221;0.1733357889
372986<BraNa>;2019-10-01;20.347970459;31188217.98;5000;1.3046270507;13.504854565;-0.59604278986
372986<BraNa>;2019-10-02;19.916297329;31168575.02;642000;-0.76098911386;14.674474506;-2.1214554579
372986<BraNa>;2019-10-03;20.020323457;31665367.01;333993.86;0.61548270496;14.509393259;0.52231660484
372986<BraNa>;2019-10-04;20.180447811;32429629.91;511000;0.58420607947;14.411850864;0.79980902647
372986<BraNa>;2019-10-07;19.864488273;32225189.41;303301.15;-1.594676798;14.934681333;-1.5656715899
372986<BraNa>;2019-10-08;19.760790158;32333384.95;276420.81;-2.1083797628;14.812877393;-0.52202761817
372986<BraNa>;2019-10-09;19.922142561;32648396.35;51000;-0.49985937567;14.710057223;0.81652809222
372986<BraNa>;2019-10-10;19.960874098;32723870.28;12000;-0.13115987067;14.474119548;0.19441451568
372986<BraNa>;2019-10-11;20.300535577;33280710.86;0;0.21959738842;14.91117353;1.7016362959
372986<BraNa>;2019-10-14;20.378859685;33413114.88;4000;0.74952853811;14.705844141;0.38582286561
372986<BraNa>;2019-10-15;20.336313997;33417222.69;73864.4;0.53919007441;14.511800088;-0.20877364568
372986<BraNa>;2019-10-16;20.451912584;33626616.45;19439.49;1.1053957367;14.346104032;0.56843431539
372986<BraNa>;2019-10-17;20.445246319;33847608.73;231952.38;0.36975580533;14.136581979;-0.032594822187
372986<BraNa>;2019-10-18;20.448372443;33853783.37;1000;0.24132361777;13.928010701;0.015290224473
372986<BraNa>;2019-10-21;20.572236359;34168412.12;109562.98;0.48415659348;13.777001193;0.60573972605
372986<BraNa>;2019-10-22;20.636255899;34375743.07;101000;0.79685713881;13.577830984;0.31119387968
372986<BraNa>;2019-10-23;20.599155427;37394940.73;3081000;0.87030181312;13.395760501;-0.17978296255
372986<BraNa>;2019-10-24;20.491712163;38004892.52;805000;0.79593815608;13.306090361;-0.52159062552
372986<BraNa>;2019-10-25;20.531742752;38080134.95;1000;0.87560786706;13.107257496;0.19535014053
